Event Type,Button/Key,Action,Position,Timestamp
Mouse,(Move),Moved,(344.87890625, 391.93359375),2025-02-21 22:02:52
Mouse,(Move),Moved,(362.45703125, 365.5625),2025-02-21 22:02:52
Mouse,(Move),Moved,(385.30859375, 342.70703125),2025-02-21 22:02:52
Mouse,(Move),Moved,(411.67578125, 325.125),2025-02-21 22:02:52
Mouse,(Move),Moved,(438.39453125, 311.76171875),2025-02-21 22:02:52
Mouse,(Move),Moved,(449, 309.63671875),2025-02-21 22:02:52
Mouse,(Move),Moved,(471.42578125, 303.65234375),2025-02-21 22:02:52
Mouse,(Move),Moved,(488.59375, 302.328125),2025-02-21 22:02:52
Mouse,(Move),Moved,(494.2109375, 302.328125),2025-02-21 22:02:52
Mouse,(Move),Moved,(502.98046875, 302.328125),2025-02-21 22:02:52
Mouse,(Move),Moved,(511.75, 302.328125),2025-02-21 22:02:52
Mouse,(Move),Moved,(516.05078125, 302.328125),2025-02-21 22:02:52
Mouse,(Move),Moved,(519.6328125, 305.1953125),2025-02-21 22:02:52
Mouse,(Move),Moved,(521.26953125, 306.83203125),2025-02-21 22:02:52
Mouse,(Move),Moved,(523.16015625, 309.35546875),2025-02-21 22:02:52
Mouse,(Move),Moved,(523.7890625, 312.51171875),2025-02-21 22:02:52
Mouse,(Move),Moved,(524.33203125, 314.68359375),2025-02-21 22:02:52
Mouse,(Move),Moved,(524.875, 316.8671875),2025-02-21 22:02:52
Mouse,(Move),Moved,(524.875, 319.05078125),2025-02-21 22:02:52
Mouse,(Move),Moved,(524.875, 321.234375),2025-02-21 22:02:52
Mouse,(Move),Moved,(524.875, 323.41796875),2025-02-21 22:02:52
Mouse,(Move),Moved,(524.875, 327.71875),2025-02-21 22:02:52
Mouse,(Move),Moved,(525.33203125, 329.09765625),2025-02-21 22:02:52
Mouse,(Move),Moved,(525.33203125, 331.28125),2025-02-21 22:02:52
Mouse,(Move),Moved,(525.875, 333.46484375),2025-02-21 22:02:52
Mouse,(Move),Moved,(526.41796875, 335.6484375),2025-02-21 22:02:52
Mouse,(Move),Moved,(526.875, 337.0234375),2025-02-21 22:02:52
Mouse,(Move),Moved,(528.51171875, 338.66015625),2025-02-21 22:02:52
Mouse,(Move),Moved,(529.26171875, 339.03515625),2025-02-21 22:02:52
Mouse,(Move),Moved,(532.41796875, 339.6640625),2025-02-21 22:02:52
Mouse,(Move),Moved,(535.57421875, 339.6640625),2025-02-21 22:02:52
Mouse,(Move),Moved,(536.953125, 339.6640625),2025-02-21 22:02:52
Mouse,(Move),Moved,(540.109375, 339.6640625),2025-02-21 22:02:52
Mouse,(Move),Moved,(543.265625, 338.3984375),2025-02-21 22:02:52
Mouse,(Move),Moved,(545.44921875, 337.3046875),2025-02-21 22:02:52
Mouse,(Move),Moved,(547.97265625, 335.41015625),2025-02-21 22:02:52
Mouse,(Move),Moved,(551.12109375, 333.515625),2025-02-21 22:02:52
Mouse,(Move),Moved,(552.5, 332.59375),2025-02-21 22:02:52
Mouse,(Move),Moved,(554.68359375, 331.5),2025-02-21 22:02:52
Mouse,(Move),Moved,(556.0625, 331.0390625),2025-02-21 22:02:52
Mouse,(Move),Moved,(557.44140625, 330.1171875),2025-02-21 22:02:52
Mouse,(Move),Moved,(558.8203125, 329.65625),2025-02-21 22:02:52
Mouse,(Move),Moved,(560.19921875, 329.1953125),2025-02-21 22:02:52
Mouse,(Move),Moved,(561.578125, 328.734375),2025-02-21 22:02:52
Mouse,(Move),Moved,(562.95703125, 328.2734375),2025-02-21 22:02:52
Mouse,(Move),Moved,(563.70703125, 328.2734375),2025-02-21 22:02:52
Mouse,(Move),Moved,(565.0859375, 328.2734375),2025-02-21 22:02:52
Mouse,(Move),Moved,(565.8359375, 328.2734375),2025-02-21 22:02:52
Mouse,(Move),Moved,(566.5859375, 328.2734375),2025-02-21 22:02:52
Mouse,(Move),Moved,(566.875, 328.2734375),2025-02-21 22:02:52
Mouse,(Move),Moved,(567.1640625, 328.2734375),2025-02-21 22:02:52
Mouse,(Move),Moved,(567.453125, 328.2734375),2025-02-21 22:02:52
Mouse,(Move),Moved,(567.7421875, 328.2734375),2025-02-21 22:02:52
Mouse,(Move),Moved,(568.03125, 328.2734375),2025-02-21 22:02:52
Mouse,(Move),Moved,(568.3203125, 328.2734375),2025-02-21 22:02:52
