Event Type,Button/Key,Action,Position,Timestamp
Mouse,Move,Moved,(1135.7421875, 381.6484375),2025-02-21 21:09:41
Mouse,Move,Moved,(1136.03125, 381.6484375),2025-02-21 21:09:41
Mouse,Move,Moved,(1136.03125, 381.85546875),2025-02-21 21:09:41
Mouse,Move,Moved,(1136.03125, 382.07421875),2025-02-21 21:09:41
Mouse,Move,Moved,(1136.03125, 382.3203125),2025-02-21 21:09:41
Mouse,Left,Pressed,N/A,2025-02-21 21:09:41
Mouse,Left,Released,N/A,2025-02-21 21:09:41
Mouse,Move,Moved,(1135.8203125, 382.3203125),2025-02-21 21:09:41
Mouse,Move,Moved,(1125.2109375, 382.3203125),2025-02-21 21:09:42
Mouse,Move,Moved,(1116.48046875, 382.3203125),2025-02-21 21:09:42
Mouse,Move,Moved,(1099.30859375, 382.3203125),2025-02-21 21:09:42
Mouse,Move,Moved,(1082.13671875, 384.9609375),2025-02-21 21:09:42
Mouse,Move,Moved,(1071.52734375, 384.9609375),2025-02-21 21:09:42
Mouse,Move,Moved,(1051.8125, 386.3671875),2025-02-21 21:09:42
Mouse,Move,Moved,(1016.73828125, 388.2109375),2025-02-21 21:09:42
Mouse,Move,Moved,(994.48828125, 388.2109375),2025-02-21 21:09:42
Mouse,Move,Moved,(985.71484375, 388.2109375),2025-02-21 21:09:42
Mouse,Move,Moved,(968.54296875, 388.2109375),2025-02-21 21:09:42
Mouse,Move,Moved,(951.37109375, 388.2109375),2025-02-21 21:09:42
Mouse,Move,Moved,(938.828125, 385.9296875),2025-02-21 21:09:42
Mouse,Move,Moved,(924.01953125, 380.9921875),2025-02-21 21:09:42
Mouse,Move,Moved,(912.546875, 375.25390625),2025-02-21 21:09:42
Mouse,Move,Moved,(900.203125, 366.61328125),2025-02-21 21:09:42
Mouse,Move,Moved,(879.62890625, 350.78515625),2025-02-21 21:09:42
Mouse,Move,Moved,(875.61328125, 345.96875),2025-02-21 21:09:42
Mouse,Move,Moved,(867.578125, 335.640625),2025-02-21 21:09:42
Mouse,Move,Moved,(859.54296875, 325.3125),2025-02-21 21:09:42
Mouse,Move,Moved,(856.33203125, 320.49609375),2025-02-21 21:09:42
Mouse,Move,Moved,(850.48046875, 313.671875),2025-02-21 21:09:42
Mouse,Move,Moved,(846.03515625, 307.44921875),2025-02-21 21:09:42
Mouse,Move,Moved,(842.82421875, 302.6328125),2025-02-21 21:09:42
Mouse,Move,Moved,(840.9296875, 299.47265625),2025-02-21 21:09:42
Mouse,Move,Moved,(838.40234375, 296.9453125),2025-02-21 21:09:42
Mouse,Move,Moved,(837.48046875, 295.5625),2025-02-21 21:09:42
Mouse,Move,Moved,(836.09765625, 294.640625),2025-02-21 21:09:42
Mouse,Move,Moved,(834.45703125, 293),2025-02-21 21:09:42
Mouse,Move,Moved,(833.07421875, 292.5390625),2025-02-21 21:09:42
Mouse,Move,Moved,(832.3203125, 291.78515625),2025-02-21 21:09:42
Mouse,Move,Moved,(830.9375, 291.32421875),2025-02-21 21:09:42
Mouse,Move,Moved,(829.5546875, 290.86328125),2025-02-21 21:09:42
Mouse,Move,Moved,(828.80078125, 290.484375),2025-02-21 21:09:42
Mouse,Move,Moved,(828.046875, 290.10546875),2025-02-21 21:09:42
Mouse,Move,Moved,(826.6640625, 289.64453125),2025-02-21 21:09:42
Mouse,Move,Moved,(825.91015625, 289.265625),2025-02-21 21:09:42
Mouse,Move,Moved,(825.6171875, 288.97265625),2025-02-21 21:09:42
Mouse,Move,Moved,(824.86328125, 288.59375),2025-02-21 21:09:42
Mouse,Move,Moved,(824.5703125, 288.30078125),2025-02-21 21:09:42
Mouse,Move,Moved,(824.27734375, 288.0078125),2025-02-21 21:09:42
Mouse,Move,Moved,(823.984375, 287.71484375),2025-02-21 21:09:42
Mouse,Move,Moved,(823.69140625, 287.421875),2025-02-21 21:09:42
Mouse,Move,Moved,(823.3984375, 287.12890625),2025-02-21 21:09:42
Mouse,Move,Moved,(823.1484375, 286.87890625),2025-02-21 21:09:42
Mouse,Move,Moved,(823.1484375, 286.5859375),2025-02-21 21:09:42
Mouse,Move,Moved,(822.85546875, 286.29296875),2025-02-21 21:09:42
Mouse,Move,Moved,(822.85546875, 286),2025-02-21 21:09:42
Mouse,Move,Moved,(822.60546875, 285.75),2025-02-21 21:09:42
Mouse,Move,Moved,(822.60546875, 285.5),2025-02-21 21:09:42
Mouse,Move,Moved,(822.3671875, 285.26171875),2025-02-21 21:09:42
Mouse,Move,Moved,(822.3671875, 285.03125),2025-02-21 21:09:42
Mouse,Move,Moved,(822.3671875, 285.23828125),2025-02-21 21:09:43
Mouse,Move,Moved,(822.3671875, 285.52734375),2025-02-21 21:09:43
Mouse,Move,Moved,(822.3671875, 285.7734375),2025-02-21 21:09:43
Mouse,Move,Moved,(822.3671875, 286.0625),2025-02-21 21:09:43
Mouse,Move,Moved,(822.65625, 286.3515625),2025-02-21 21:09:43
Mouse,Move,Moved,(823.11328125, 287.73046875),2025-02-21 21:09:43
Mouse,Move,Moved,(823.73828125, 290.87109375),2025-02-21 21:09:43
Mouse,Move,Moved,(824.453125, 295.171875),2025-02-21 21:09:43
Mouse,Move,Moved,(827.1171875, 302.27734375),2025-02-21 21:09:43
Mouse,Move,Moved,(828.890625, 309.3828125),2025-02-21 21:09:43
Mouse,Move,Moved,(832.8515625, 326.55078125),2025-02-21 21:09:43
Mouse,Move,Moved,(834.625, 333.65625),2025-02-21 21:09:43
Mouse,Move,Moved,(839.2109375, 346.27734375),2025-02-21 21:09:43
Mouse,Move,Moved,(841.67578125, 361.08203125),2025-02-21 21:09:43
Mouse,Move,Moved,(845.375, 375.88671875),2025-02-21 21:09:43
Mouse,Move,Moved,(848.81640625, 388.5078125),2025-02-21 21:09:43
Mouse,Move,Moved,(852.515625, 403.3125),2025-02-21 21:09:43
Mouse,Move,Moved,(854.80859375, 415.92578125),2025-02-21 21:09:43
Mouse,Move,Moved,(856.9296875, 426.53125),2025-02-21 21:09:43
Mouse,Move,Moved,(859.05078125, 437.13671875),2025-02-21 21:09:43
Mouse,Move,Moved,(861, 445.90625),2025-02-21 21:09:43
Mouse,Move,Moved,(861.62890625, 449.0625),2025-02-21 21:09:43
Mouse,Move,Moved,(862.515625, 456.16796875),2025-02-21 21:09:43
Mouse,Move,Moved,(864.1171875, 461.78515625),2025-02-21 21:09:43
Mouse,Move,Moved,(864.83203125, 466.0859375),2025-02-21 21:09:43
Mouse,Move,Moved,(865.4609375, 469.2421875),2025-02-21 21:09:43
Mouse,Move,Moved,(866.08984375, 472.3984375),2025-02-21 21:09:43
Mouse,Move,Moved,(866.6328125, 474.58203125),2025-02-21 21:09:43
Mouse,Move,Moved,(867.17578125, 476.765625),2025-02-21 21:09:43
Mouse,Move,Moved,(867.17578125, 478.14453125),2025-02-21 21:09:43
Mouse,Move,Moved,(867.55078125, 478.89453125),2025-02-21 21:09:43
Mouse,Move,Moved,(867.55078125, 479.64453125),2025-02-21 21:09:43
Mouse,Move,Moved,(867.55078125, 479.93359375),2025-02-21 21:09:43
Mouse,Move,Moved,(867.55078125, 480.22265625),2025-02-21 21:09:43
Mouse,Move,Moved,(867.55078125, 480.51171875),2025-02-21 21:09:43
Mouse,Move,Moved,(867.55078125, 480.80078125),2025-02-21 21:09:43
Mouse,Move,Moved,(867.7734375, 480.80078125),2025-02-21 21:09:43
Mouse,Left,Pressed,N/A,2025-02-21 21:09:43
Mouse,Left,Released,N/A,2025-02-21 21:09:43
Mouse,Move,Moved,(867.98046875, 480.80078125),2025-02-21 21:09:43
Mouse,Move,Moved,(872.28125, 480.80078125),2025-02-21 21:09:43
Mouse,Move,Moved,(882.88671875, 480.80078125),2025-02-21 21:09:43
